val_loss,val_acc,train_loss,train_acc
44.668651819229126,0.4990741,359.88486,0.50695777
18.037438025698066,0.53847224,206.66753,0.52675146
13.57972868066281,0.5430556,113.65935,0.5419866
15.28860957181314,0.54699075,81.4001,0.5446857
9.758970530005172,0.5507408,62.17377,0.5518834
8.137643955182284,0.5503241,46.182785,0.55422264
8.93042421201244,0.5511574,33.511665,0.55704176
7.986407093529124,0.5532408,30.980444,0.5584813
10.733688731270377,0.54972225,25.634161,0.5602207
6.835163141207886,0.55430555,15.086507,0.5609405
7.728336489690264,0.55740744,9.380955,0.56196016
6.874856917911529,0.55490744,8.357725,0.5620202
7.288754821168823,0.5586574,7.6553454,0.5619002
7.307639485232357,0.55699074,1.323931,0.56327975
7.811594707636118,0.5557408,0.56772465,0.56327975
8.15837291481941,0.55490744,0.16031942,0.56327975
8.870746852218275,0.5553241,0.14257133,0.56327975
8.605449113347369,0.55490744,0.21258995,0.56327975
8.604735576073743,0.55490744,0.061576203,0.56327975
8.645654737078551,0.55490744,0.060789775,0.56327975
